Index,ticker,industry
0,MMM,Industrial Conglomerates
1,ABT,Health Care Equipment
2,ABBV,Pharmaceuticals
3,ABMD,Health Care Equipment
4,ACN,IT Consulting & Other Services
5,ATVI,Interactive Home Entertainment
6,ADBE,Application Software
7,AMD,Semiconductors
8,AAP,Automotive Retail
9,AES,Independent Power Producers & Energy Traders
10,AFL,Life & Health Insurance
11,A,Health Care Equipment
12,APD,Industrial Gases
13,AKAM,Internet Services & Infrastructure
14,ALK,Airlines
15,ALB,Specialty Chemicals
16,ARE,Office REITs
17,ALXN,Biotechnology
18,ALGN,Health Care Supplies
19,ALLE,Building Products
20,LNT,Electric Utilities
21,ALL,Property & Casualty Insurance
22,GOOGL,Interactive Media & Services
23,GOOG,Interactive Media & Services
24,MO,Tobacco
25,AMZN,Internet & Direct Marketing Retail
26,AMCR,Paper Packaging
27,AEE,Multi-Utilities
28,AAL,Airlines
29,AEP,Electric Utilities
30,AXP,Consumer Finance
31,AIG,Property & Casualty Insurance
32,AMT,Specialized REITs
33,AWK,Water Utilities
34,AMP,Asset Management & Custody Banks
35,ABC,Health Care Distributors
36,AME,Electrical Components & Equipment
37,AMGN,Biotechnology
38,APH,Electronic Components
39,ADI,Semiconductors
40,ANSS,Application Software
41,ANTM,Managed Health Care
42,AON,Insurance Brokers
43,AOS,Building Products
44,APA,Oil & Gas Exploration & Production
45,AIV,Residential REITs
46,AAPL,"Technology Hardware, Storage & Peripherals"
47,AMAT,Semiconductor Equipment
48,APTV,Auto Parts & Equipment
49,ADM,Agricultural Products
50,ANET,Communications Equipment
51,AJG,Insurance Brokers
52,AIZ,Multi-line Insurance
53,T,Integrated Telecommunication Services
54,ATO,Gas Utilities
55,ADSK,Application Software
56,ADP,Internet Services & Infrastructure
57,AZO,Specialty Stores
58,AVB,Residential REITs
59,AVY,Paper Packaging
60,BKR,Oil & Gas Equipment & Services
61,BLL,Metal & Glass Containers
62,BAC,Diversified Banks
63,BK,Asset Management & Custody Banks
64,BAX,Health Care Equipment
65,BDX,Health Care Equipment
66,BRK.B,Multi-Sector Holdings
67,BBY,Computer & Electronics Retail
68,BIO,Life Sciences Tools & Services
69,BIIB,Biotechnology
70,BLK,Asset Management & Custody Banks
71,BA,Aerospace & Defense
72,BKNG,Internet & Direct Marketing Retail
73,BWA,Auto Parts & Equipment
74,BXP,Office REITs
75,BSX,Health Care Equipment
76,BMY,Health Care Distributors
77,AVGO,Semiconductors
78,BR,Data Processing & Outsourced Services
79,BF.B,Distillers & Vintners
80,CHRW,Air Freight & Logistics
81,COG,Oil & Gas Exploration & Production
82,CDNS,Application Software
83,CPB,Packaged Foods & Meats
84,COF,Consumer Finance
85,CAH,Health Care Distributors
