Ticker,Name,Last Price
Unclassified
AKAM, Akamai Technologies Inc., 97.58
AMZN, Amazon.com Inc., 3088.83
ANET, Arista Networks Inc., 279.56
BCOR, Blucora Inc., 17.36
BOX, Box Inc., 22.93
CCOI, Cogent Communications Holdings Inc., 64.43
CRM, salesforce.com inc., 212.21
CSOD, Cornerstone OnDemand Inc., 50.47
CTXS, Citrix Systems Inc., 133.55
DBX, Dropbox Inc., 27.07
EBAY, eBay Inc., 55.80
EBIX, Ebix Inc., 33.34
EGHT, 8x8 Inc., 35.25
EIGI, Endurance International Group Holdings Inc., 9.49
EXPE, Expedia Group Inc., 174.59
FB, Facebook Inc., 268.40
GDDY, GoDaddy Inc., 72.41
GOOGL, Alphabet Inc., 2049.74
GRPN, Groupon Inc., 58.73
GRUB, Grubhub Inc., 67.88
HUBS, HubSpot Inc., 480.59
JCOM, J2 Global Inc., 119.82
JNPR, Juniper Networks Inc., 25.40
NEWR, New Relic Inc., 62.05
NFLX, Netflix Inc., 518.06
NTGR, NETGEAR Inc., 42.98
OKTA, Okta Inc., 226.87
PYPL, PayPal Holdings Inc., 250.39
SNAP, Snap Inc., 62.69
TRIP, TripAdvisor Inc., 59.79
TWOU, 2U Inc., 38.54
TWTR, Twitter Inc., 68.10
VEEV, Veeva Systems Inc., 258.01
VG, Vonage Holdings Corp., 12.25
VRSN, VeriSign Inc., 188.10
