Index,ticker,industry
0,ADS.DE,Bekleidung
1,ALV.DE,Versicherungen
2,BAS.DE,Chemie
3,BAYN.DE,Chemie und Pharma
4,BEI.DE,Konsumgüter
5,BMW.DE,Automobilproduktion
6,CON.DE,Automobilzulieferer
7,1COV.DE,Chemie
8,DAI.DE,Automobilproduktion
9,DHER.DE,Onlinedienste
10,DBK.DE,Banken
11,DB1.DE,Börsen
12,DPW.DE,Logistik
13,DTE.DE,Telekommunikation
14,DWNI.DE,Immobilien
15,EOAN.DE,Versorger
16,FRE.DE,Medizintechnik und Klinikbetrieb
17,FME.DE,Medizintechnik
18,HEI.DE,Baustoffe
19,HEN3.DE,Konsumgüter und Chemie
20,IFX.DE,Halbleiter
21,LIN.DE,Industriegase und Anlagenbau
22,MRK.DE,Chemie und Pharma
23,MTX.DE,Luftfahrt
24,MUV2.DE,Versicherungen
25,RWE.DE,Versorger
26,SAP.DE,Software
27,SIE.DE,Elektrotechnik
28,VOW3.DE,Automobilproduktion
29,VNA.DE,Immobilien
