Ticker,Name,Last Price
Unclassified
XXII, 22nd Century Group Inc., 3.05
NTEC, Intec Pharma Ltd, 4.59
NEPT, Neptune Wellness Solutions Inc., 1.70
SVBI, Severn Bancorp Inc., 12.30
GWPH, GW Pharmaceuticals plc, 215.22
CGC, Canopy Growth Corporation, 34.20
GWPRF, GW Pharmaceuticals plc, 17.52
MRMD, MariMed Inc., 0.80
CVSI, CV Sciences Inc., 0.59
NVOS, Novo Integrated Sciences Inc., 3.92
KSHB, KushCo Holdings Inc., 1.37
CBWTF, Auxly Cannabis Group Inc., 0.307
SPRWF, The Supreme Cannabis Company Inc., 0.2182
CBCA, Crown Baus Capital Corp., 0.60
BUDZ, WEED Inc., 0.92
HPMM, Hemp Naturals Inc., 0.0098
GSRX, GSRX Industries Inc., 0.1420
TRTC, Terra Tech Corp., 0.413
GRWG, GrowGeneration Corp., 48.95
CANN, General Cannabis Corp, 1.04
NBGV, NewBridge Global Ventures Inc., 0.1325
HLIX, Helix Technologies Inc., 0.84
CBDS, Cannabis Sativa Inc., 0.84
ZGSI, Zero Gravity Solutions Inc., 2.00
MJNE, MJ Holdings Inc., 0.75
CLSH, CLS Holdings USA Inc., 0.2365
PNPL, Pineapple Inc., 0.250
VCBDQ, Vitalibis Inc., 0.0101
AXIM, AXIM Biotechnologies Inc., 0.70
CNBX, Cannabics Pharmaceuticals Inc., 0.397
PMCB, PharmaCyte Biotech Inc., 0.0210
STWC, STWC Holdings Inc., 0.0040
ACAN, AmeriCann Inc., 1.30
GBLX, GB Sciences Inc., 0.0675
CPMD, CannaPharmaRX Inc., 0.270
ETST, Earth Science Tech Inc., 0.0333
WEED, Canopy Growth Corporation, 42.63
NEPT, Neptune Wellness Solutions Inc., 2.12
IN, InMed Pharmaceuticals Inc., 5.91
XLY, Auxly Cannabis Group Inc., 0.400
FIRE, The Supreme Cannabis Company Inc., 0.275
