Ticker,Name,Last Price
Unclassified
APPN, Appian Corporation, 173.32
AYX, Alteryx Inc., 85.71
BL, BlackLine Inc., 112.83
BNFT, Benefitfocus Inc., 14.82
BOX, Box Inc., 22.93
CDAY, Ceridian HCM Holding Inc., 87.15
CLDR, Cloudera Inc., 12.76
COUP, Coupa Software Incorporated, 277.27
CRM, salesforce.com inc., 212.21
CSOD, Cornerstone OnDemand Inc., 50.47
CVNA, Carvana Co., 286.77
ECOM, ChannelAdvisor Corporation, 24.64
GWRE, Guidewire Software Inc., 105.08
HUBS, HubSpot Inc., 480.59
MDB, MongoDB Inc., 320.06
NEWR, New Relic Inc., 62.05
NOW, ServiceNow Inc., 489.42
OKTA, Okta Inc., 226.87
PAYC, Paycom Software Inc., 384.17
PCTY, Paylocity Holding Corporation, 183.28
RNG, RingCentral Inc., 344.33
SHOP, Shopify Inc., 1140.86
TEAM, Atlassian Corporation Plc, 229.16
TLND, Talend S.A., 64.51
VEEV, Veeva Systems Inc., 257.77
WDAY, Workday Inc., 252.63
ZEN, Zendesk Inc., 134.91
ZUO, Zuora Inc., 14.19
